时间,小区名称,小区上行平均激活用户数,小区下行平均激活用户数,下行平均使用的PRB个数,上行平均使用的PRB个数
2026/07/01 00:00,synthetic-cell,18.0000,26.0000,32.0000,14.0000
2026/07/01 01:00,synthetic-cell,18.0170,26.0246,32.0303,14.0133
2026/07/01 02:00,synthetic-cell,18.0352,26.0513,32.0637,14.0289
2026/07/01 03:00,synthetic-cell,18.0630,26.0949,32.1212,14.0613
2026/07/01 04:00,synthetic-cell,18.1406,26.2256,32.3031,14.1809
2026/07/01 05:00,synthetic-cell,18.3943,26.6645,32.9254,14.6087
2026/07/01 06:00,synthetic-cell,19.0531,27.8124,34.5605,15.7456
2026/07/01 07:00,synthetic-cell,22.7919,34.2029,43.9937,21.3399
2026/07/01 08:00,synthetic-cell,26.5779,40.6816,53.5417,27.0512
2026/07/01 09:00,synthetic-cell,29.4638,45.5960,60.8321,31.2563
2026/07/01 10:00,synthetic-cell,30.8809,47.9561,64.4402,32.9922
2026/07/01 11:00,synthetic-cell,31.2300,48.4677,65.3650,32.9886
2026/07/01 12:00,synthetic-cell,31.3079,48.5288,65.5958,32.6630
2026/07/01 13:00,synthetic-cell,31.4815,48.7843,66.0481,32.6751
2026/07/01 14:00,synthetic-cell,31.6631,49.0824,66.5016,32.8824
2026/07/01 15:00,synthetic-cell,31.7200,49.1915,66.6241,33.0566
2026/07/01 16:00,synthetic-cell,31.6285,49.0697,66.3565,33.1531
2026/07/01 17:00,synthetic-cell,31.3192,48.5940,65.5268,33.0406
2026/07/01 18:00,synthetic-cell,30.5244,47.2933,63.4674,32.2338
2026/07/01 19:00,synthetic-cell,28.8859,44.5372,59.2851,30.0830
2026/07/01 20:00,synthetic-cell,26.2777,40.1006,52.6679,26.3398
2026/07/01 21:00,synthetic-cell,22.9873,34.4816,44.3376,21.4753
2026/07/01 22:00,synthetic-cell,19.5287,28.5744,35.5834,16.3544
2026/07/01 23:00,synthetic-cell,18.8922,27.4571,33.9841,15.2297
2026/07/02 00:00,synthetic-cell,18.3518,26.5082,32.6255,14.2737
2026/07/02 01:00,synthetic-cell,18.3622,26.5232,32.6440,14.2819
2026/07/02 02:00,synthetic-cell,18.3734,26.5399,32.6650,14.2920
2026/07/02 03:00,synthetic-cell,18.3939,26.5729,32.7096,14.3189
2026/07/02 04:00,synthetic-cell,18.4646,26.6939,32.8799,14.4341
2026/07/02 05:00,synthetic-cell,18.7139,27.1278,33.4974,14.8625
2026/07/02 06:00,synthetic-cell,19.3745,28.2815,35.1434,16.0112
2026/07/02 07:00,synthetic-cell,23.1642,34.7617,44.7125,21.6885
2026/07/02 08:00,synthetic-cell,26.9975,41.3239,54.3869,27.4782
2026/07/02 09:00,synthetic-cell,29.9120,46.2898,61.7576,31.7319
2026/07/02 10:00,synthetic-cell,31.3324,48.6573,65.3824,33.4746
2026/07/02 11:00,synthetic-cell,31.6676,49.1468,66.2808,33.4508
2026/07/02 12:00,synthetic-cell,31.7269,49.1781,66.4735,33.1001
2026/07/02 13:00,synthetic-cell,31.8824,49.4055,66.8892,33.0912
2026/07/02 14:00,synthetic-cell,32.0453,49.6748,67.3042,33.2792
2026/07/02 15:00,synthetic-cell,32.0813,49.7518,67.3829,33.4331
2026/07/02 16:00,synthetic-cell,31.9668,49.5946,67.0663,33.5077
2026/07/02 17:00,synthetic-cell,31.6320,49.0794,66.1814,33.3707
2026/07/02 18:00,synthetic-cell,30.8073,47.7317,64.0556,32.5325
2026/07/02 19:00,synthetic-cell,29.1325,44.9173,59.7911,30.3398
2026/07/02 20:00,synthetic-cell,26.4825,40.4131,53.0783,26.5451
2026/07/02 21:00,synthetic-cell,23.1491,34.7243,44.6498,21.6265
2026/07/02 22:00,synthetic-cell,19.6513,28.7538,35.8069,16.4571
2026/07/02 23:00,synthetic-cell,18.9963,27.6084,34.1714,15.3136
2026/07/03 00:00,synthetic-cell,18.4387,26.6337,32.7800,14.3412
2026/07/03 01:00,synthetic-cell,18.4348,26.6281,32.7731,14.3383
2026/07/03 02:00,synthetic-cell,18.4316,26.6239,32.7685,14.3373
2026/07/03 03:00,synthetic-cell,18.4376,26.6361,32.7874,14.3529
2026/07/03 04:00,synthetic-cell,18.4939,26.7363,32.9321,14.4570
2026/07/03 05:00,synthetic-cell,18.7288,27.1493,33.5240,14.8743
2026/07/03 06:00,synthetic-cell,19.3745,28.2815,35.1434,16.0112
2026/07/03 07:00,synthetic-cell,23.1459,34.7342,44.6770,21.6713
2026/07/03 08:00,synthetic-cell,26.9547,41.2584,54.3007,27.4347
2026/07/03 09:00,synthetic-cell,29.8410,46.1799,61.6111,31.6566
2026/07/03 10:00,synthetic-cell,31.2335,48.5037,65.1760,33.3689
2026/07/03 11:00,synthetic-cell,31.5429,48.9532,66.0197,33.3191
2026/07/03 12:00,synthetic-cell,31.5773,48.9464,66.1602,32.9441
2026/07/03 13:00,synthetic-cell,31.7077,49.1347,66.5226,32.9099
2026/07/03 14:00,synthetic-cell,31.8453,49.3648,66.8843,33.0716
2026/07/03 15:00,synthetic-cell,31.8570,49.4040,66.9118,33.1994
2026/07/03 16:00,synthetic-cell,31.7196,49.2110,66.5477,33.2486
2026/07/03 17:00,synthetic-cell,31.3643,48.6640,65.6212,33.0882
2026/07/03 18:00,synthetic-cell,30.5244,47.2933,63.4674,32.2338
2026/07/03 19:00,synthetic-cell,28.8444,44.4731,59.1998,30.0397
2026/07/03 20:00,synthetic-cell,26.2023,39.9854,52.5166,26.2641
2026/07/03 21:00,synthetic-cell,22.8884,34.3333,44.1469,21.3829
2026/07/03 22:00,synthetic-cell,19.4169,28.4109,35.3798,16.2609
2026/07/03 23:00,synthetic-cell,18.7574,27.2613,33.7417,15.1211
2026/07/04 00:00,synthetic-cell,16.0118,23.1282,28.4655,12.4537
2026/07/04 01:00,synthetic-cell,15.9985,23.1090,28.4418,12.4434
2026/07/04 02:00,synthetic-cell,15.9861,23.0914,28.4207,12.4350
2026/07/04 03:00,synthetic-cell,15.9820,23.0885,28.4205,12.4413
2026/07/04 04:00,synthetic-cell,16.0217,23.1623,28.5299,12.5244
2026/07/04 05:00,synthetic-cell,16.2164,23.5073,29.0269,12.8790
2026/07/04 06:00,synthetic-cell,16.7667,24.4749,30.4132,13.8561
2026/07/04 07:00,synthetic-cell,20.0205,30.0441,38.6444,18.7451
2026/07/04 08:00,synthetic-cell,23.3040,35.6704,46.9463,23.7190
2026/07/04 09:00,synthetic-cell,25.7877,39.9073,53.2425,27.3567
2026/07/04 10:00,synthetic-cell,26.9795,41.8975,56.2991,28.8241
2026/07/04 11:00,synthetic-cell,27.2358,42.2689,57.0050,28.7695
2026/07/04 12:00,synthetic-cell,27.2553,42.2471,57.1048,28.4350
2026/07/04 13:00,synthetic-cell,27.3583,42.3948,57.3975,28.3955
2026/07/04 14:00,synthetic-cell,27.4681,42.5795,57.6909,28.5258
2026/07/04 15:00,synthetic-cell,27.4701,42.6007,57.6976,28.6276
2026/07/04 16:00,synthetic-cell,27.3442,42.4230,57.3682,28.6624
2026/07/04 17:00,synthetic-cell,27.0315,41.9414,56.5560,28.5173
2026/07/04 18:00,synthetic-cell,26.3020,40.7514,54.6881,27.7750
2026/07/04 19:00,synthetic-cell,24.8499,38.3143,51.0016,25.8797
2026/07/04 20:00,synthetic-cell,22.5702,34.4428,45.2370,22.6235
2026/07/04 21:00,synthetic-cell,19.7133,29.5705,38.0228,18.4166
2026/07/04 22:00,synthetic-cell,16.7218,24.4674,30.4690,14.0038
2026/07/04 23:00,synthetic-cell,16.1528,23.4758,29.0564,13.0214
2026/07/05 00:00,synthetic-cell,15.6682,22.6318,27.8546,12.1864
2026/07/05 01:00,synthetic-cell,15.6551,22.6129,27.8314,12.1763
2026/07/05 02:00,synthetic-cell,15.6434,22.5964,27.8114,12.1684
2026/07/05 03:00,synthetic-cell,15.6403,22.5948,27.8128,12.1753
2026/07/05 04:00,synthetic-cell,15.6805,22.6690,27.9223,12.2577
2026/07/05 05:00,synthetic-cell,15.8729,23.0095,28.4121,12.6062
2026/07/05 06:00,synthetic-cell,16.4141,23.9601,29.7735,13.5647
2026/07/05 07:00,synthetic-cell,19.6029,29.4174,37.8383,18.3541
2026/07/05 08:00,synthetic-cell,22.8227,34.9337,45.9767,23.2291
2026/07/05 09:00,synthetic-cell,25.2612,39.0924,52.1553,26.7981
2026/07/05 10:00,synthetic-cell,26.4357,41.0530,55.1643,28.2431
2026/07/05 11:00,synthetic-cell,26.6948,41.4292,55.8726,28.1980
2026/07/05 12:00,synthetic-cell,26.7226,41.4213,55.9887,27.8792
2026/07/05 13:00,synthetic-cell,26.8330,41.5809,56.2956,27.8504
2026/07/05 14:00,synthetic-cell,26.9511,41.7781,56.6050,27.9889
2026/07/05 15:00,synthetic-cell,26.9641,41.8160,56.6348,28.1003
2026/07/05 16:00,synthetic-cell,26.8523,41.6597,56.3361,28.1467
2026/07/05 17:00,synthetic-cell,26.5574,41.2059,55.5642,28.0172
2026/07/05 18:00,synthetic-cell,25.8534,40.0563,53.7554,27.3012
2026/07/05 19:00,synthetic-cell,24.4386,37.6802,50.1575,25.4514
2026/07/05 20:00,synthetic-cell,22.2086,33.8910,44.5122,22.2611
2026/07/05 21:00,synthetic-cell,19.4083,29.1131,37.4346,18.1318
2026/07/05 22:00,synthetic-cell,16.4728,24.1030,30.0153,13.7953
2026/07/05 23:00,synthetic-cell,15.9219,23.1403,28.6411,12.8353
2026/07/06 00:00,synthetic-cell,17.5613,25.3663,31.2201,13.6588
2026/07/06 01:00,synthetic-cell,17.5580,25.3616,31.2143,13.6563
2026/07/06 02:00,synthetic-cell,17.5566,25.3599,31.2128,13.6566
2026/07/06 03:00,synthetic-cell,17.5651,25.3756,31.2358,13.6737
2026/07/06 04:00,synthetic-cell,17.6227,25.4768,31.3808,13.7760
2026/07/06 05:00,synthetic-cell,17.8518,25.8781,31.9543,14.1779
2026/07/06 06:00,synthetic-cell,18.4740,26.9670,33.5100,15.2670
2026/07/06 07:00,synthetic-cell,22.0796,33.1341,42.6189,20.6730
2026/07/06 08:00,synthetic-cell,25.7257,39.3773,51.8250,26.1839
2026/07/06 09:00,synthetic-cell,28.4965,44.0992,58.8351,30.2302
2026/07/06 10:00,synthetic-cell,29.8449,46.3473,62.2784,31.8854
2026/07/06 11:00,synthetic-cell,30.1613,46.8092,63.1282,31.8598
2026/07/06 12:00,synthetic-cell,30.2171,46.8379,63.3102,31.5250
2026/07/06 13:00,synthetic-cell,30.3666,47.0565,63.7090,31.5179
2026/07/06 14:00,synthetic-cell,30.5252,47.3183,64.1115,31.7006
2026/07/06 15:00,synthetic-cell,30.5650,47.4003,64.1980,31.8529
2026/07/06 16:00,synthetic-cell,30.4634,47.2621,63.9122,31.9319
2026/07/06 17:00,synthetic-cell,30.1539,46.7860,63.0888,31.8113
2026/07/06 18:00,synthetic-cell,29.3789,45.5186,61.0856,31.0241
2026/07/06 19:00,synthetic-cell,27.7942,42.8539,57.0445,28.9460
2026/07/06 20:00,synthetic-cell,25.2790,38.5764,50.6660,25.3387
2026/07/06 21:00,synthetic-cell,22.1098,33.1654,42.6452,20.6555
2026/07/06 22:00,synthetic-cell,18.7811,27.4805,34.2213,15.7284
2026/07/06 23:00,synthetic-cell,18.1679,26.4044,32.6812,14.6458
2026/07/07 00:00,synthetic-cell,17.6482,25.4918,31.3746,13.7264
2026/07/07 01:00,synthetic-cell,17.6591,25.5076,31.3940,13.7350
2026/07/07 02:00,synthetic-cell,17.6717,25.5262,31.4174,13.7461
2026/07/07 03:00,synthetic-cell,17.6942,25.5620,31.4653,13.7742
2026/07/07 04:00,synthetic-cell,17.7659,25.6839,31.6359,13.8880
2026/07/07 05:00,synthetic-cell,18.0106,26.1083,32.2386,14.3040
2026/07/07 06:00,synthetic-cell,18.6524,27.2274,33.8336,15.4144
2026/07/07 07:00,synthetic-cell,22.3092,33.4785,43.0620,20.8879
2026/07/07 08:00,synthetic-cell,26.0119,39.8153,52.4015,26.4751
2026/07/07 09:00,synthetic-cell,28.8338,44.6211,59.5314,30.5880
2026/07/07 10:00,synthetic-cell,30.2188,46.9280,63.0587,32.2849
2026/07/07 11:00,synthetic-cell,30.5597,47.4274,63.9619,32.2805
2026/07/07 12:00,synthetic-cell,30.6360,47.4873,64.1880,31.9620
2026/07/07 13:00,synthetic-cell,30.8069,47.7389,64.6328,31.9749
2026/07/07 14:00,synthetic-cell,30.9866,48.0336,65.0807,32.1798
2026/07/07 15:00,synthetic-cell,31.0452,48.1450,65.2066,32.3533
2026/07/07 16:00,synthetic-cell,30.9594,48.0317,64.9528,32.4518
2026/07/07 17:00,synthetic-cell,30.6613,47.5734,64.1505,32.3467
2026/07/07 18:00,synthetic-cell,29.8887,46.3084,62.1456,31.5625
2026/07/07 19:00,synthetic-cell,28.2903,43.6189,58.0627,29.4627
2026/07/07 20:00,synthetic-cell,25.7421,39.2832,51.5943,25.8029
2026/07/07 21:00,synthetic-cell,22.5247,33.7878,43.4455,21.0432
2026/07/07 22:00,synthetic-cell,19.1414,28.0077,34.8778,16.0301
2026/07/07 23:00,synthetic-cell,18.5235,26.9213,33.3209,14.9325
2026/07/08 00:00,synthetic-cell,18.0000,26.0000,32.0000,14.0000
2026/07/08 01:00,synthetic-cell,18.0170,26.0246,32.0303,14.0133
2026/07/08 02:00,synthetic-cell,18.0352,26.0513,32.0637,14.0289
2026/07/08 03:00,synthetic-cell,18.0630,26.0949,32.1212,14.0613
2026/07/08 04:00,synthetic-cell,18.1406,26.2256,32.3031,14.1809
2026/07/08 05:00,synthetic-cell,18.3943,26.6645,32.9254,14.6087
